"Index","FCHI.Adjusted"
"2007-01-02",5617.7099609375
"2007-01-03",5610.919921875
"2007-01-04",5574.56005859375
"2007-01-05",5517.35009765625
"2007-01-08",5518.58984375
"2007-01-09",5533.02978515625
"2007-01-10",5501.9501953125
"2007-01-11",5609.7998046875
"2007-01-12",5617.6201171875
"2007-01-15",5631.080078125
"2007-01-16",5591.5400390625
"2007-01-17",5561.77978515625
"2007-01-18",5555.0400390625
"2007-01-19",5614.7001953125
"2007-01-22",5579.77978515625
"2007-01-23",5575.06982421875
"2007-01-24",5638.080078125
"2007-01-25",5609.2001953125
"2007-01-26",5582.2998046875
"2007-01-29",5619.7001953125
"2007-01-30",5645.58984375
"2007-01-31",5608.31005859375
"2007-02-01",5662.25
"2007-02-02",5677.2998046875
"2007-02-05",5681.10986328125
"2007-02-06",5676.77978515625
"2007-02-07",5703
"2007-02-08",5665.10009765625
"2007-02-09",5692.4501953125
"2007-02-12",5643.9501953125
"2007-02-13",5682.68994140625
"2007-02-14",5725.83984375
"2007-02-15",5720.8798828125
"2007-02-16",5713.58984375
"2007-02-19",5739.89990234375
"2007-02-20",5713.4501953125
"2007-02-21",5694.56005859375
"2007-02-22",5707.85986328125
"2007-02-23",5716.3798828125
"2007-02-26",5762.5400390625
"2007-02-27",5588.39013671875
"2007-02-28",5516.31982421875
"2007-03-01",5458.39990234375
"2007-03-02",5424.7001953125
"2007-03-05",5385.02978515625
"2007-03-06",5437.1298828125
"2007-03-07",5455.06982421875
"2007-03-08",5524.259765625
"2007-03-09",5537.83984375
"2007-03-12",5496.06982421875
"2007-03-13",5432.93994140625
"2007-03-14",5296.22021484375
"2007-03-15",5389.85009765625
"2007-03-16",5382.16015625
"2007-03-19",5458.9501953125
"2007-03-20",5503.27001953125
"2007-03-21",5502.18017578125
"2007-03-22",5598.3701171875
"2007-03-23",5634.75
"2007-03-26",5576.2998046875
"2007-03-27",5587.06005859375
"2007-03-28",5552.68994140625
"2007-03-29",5631.52978515625
"2007-03-30",5634.16015625
"2007-04-02",5645.56005859375
"2007-04-03",5711.91015625
"2007-04-04",5739.009765625
"2007-04-05",5741.3798828125
"2007-04-10",5766.27001953125
"2007-04-11",5751.919921875
"2007-04-12",5748.93994140625
