"Index","AI","MT","MC","OR","RMS","KER","ML","PUB","RNO","VIV","BN","RI","CA","TTE","BNP","CS","GLE","ACA","SAN","EL","ERF","SU","AIR","DG","SAF","SGO","LR","HO","EDEN","TEP","EN","ALO","CAP","DSY","STMPA","ORA","ENGI","VIE","URW","STLAP"
"2007-01-02",31.7933902740479,NA,57.090030670166,55.4737815856934,78.3725051879883,61.0903816223145,9.919921875,18.106273651123,58.5971755981445,1.18396973609924,32.7300071716309,58.4922676086426,27.2298717498779,20.4442615509033,34.3214416503906,9.81790924072266,60.2037315368652,-14.4524126052856,34.3675537109375,29.9674701690674,4.53842449188232,25.1034278869629,20.4854373931885,25.4881801605225,13.1390991210938,38.453784942627,13.9372978210449,25.8660068511963,NA,21.3271751403809,20.1800651550293,34.7821655273438,31.9855518341064,3.53654551506042,7.77294158935547,6.53724718093872,11.8164052963257,24.1927433013916,NA,NA
"2007-01-03",31.5507011413574,91.3870391845703,56.2051811218262,55.3658561706543,78.5351409912109,61.2504272460938,9.94722938537598,17.9936714172363,58.7240104675293,1.18751645088196,32.8705940246582,58.1566772460938,27.3179950714111,20.2218379974365,34.6456146240234,10.134617805481,60.2495460510254,-14.1603536605835,34.2458572387695,29.8571586608887,4.40542936325073,25.0887393951416,20.3373889923096,25.5277481079102,13.1834383010864,38.2164115905762,13.9310932159424,25.9269104003906,NA,21.4698333740234,20.2573356628418,35.2203140258789,32.1781272888184,3.57946014404297,7.79499435424805,6.57105350494385,11.8265790939331,23.80393409729,NA,NA
"2007-01-04",31.3253326416016,89.5951690673828,56.2405853271484,55.5097541809082,77.5188598632812,61.1437644958496,9.76972389221191,18.0499725341797,57.8361587524414,1.19027554988861,32.6456604003906,57.049259185791,27.3649997711182,19.8140697479248,34.5645637512207,10.134617805481,60.2495460510254,-14.3882331848145,34.2215194702148,29.5629940032959,4.40542936325073,25.3529949188232,19.9633693695068,25.2244663238525,13.0873708724976,38.3647689819336,13.9310932159424,25.6765079498291,NA,21.4698333740234,19.997049331665,33.5014305114746,31.9523639678955,3.58734345436096,7.82806921005249,6.6632571220398,11.8503122329712,23.5879230499268,NA,NA
"2007-01-05",30.8399391174316,89.6175384521484,55.6388816833496,54.826229095459,75.9335327148438,60.7702445983887,9.42153549194336,17.9035911560059,58.216667175293,1.17726945877075,32.589412689209,56.4787788391113,27.4237442016602,19.5545806884766,34.0783157348633,9.81790924072266,59.8371887207031,-14.2355012893677,34.1241645812988,29.9306945800781,4.43867826461792,25.1915130615234,20.0257034301758,25.0530605316162,12.6883211135864,37.8010177612305,13.5649738311768,25.4667129516602,NA,21.5411643981934,19.8628463745117,32.3218002319336,31.8925952911377,3.57508087158203,7.79499435424805,6.6417441368103,11.697732925415,22.9183082580566,NA,NA
"2007-01-08",30.6319198608398,90.3119125366211,55.5327110290527,54.3225746154785,74.6734161376953,60.7702445983887,9.47615432739258,18.100643157959,57.8678703308105,1.19185185432434,32.280101776123,57.1499290466309,27.2768707275391,19.4619045257568,34.0783157348633,9.81790924072266,59.5622863769531,-14.190577507019,33.6860466003418,30.0042362213135,4.38880491256714,24.9566268920898,19.7451877593994,25.0003070831299,12.8656768798828,38.5724639892578,13.658052444458,25.8727741241455,NA,22.5397605895996,19.988920211792,32.1701316833496,32.9085388183594,3.58734345436096,8.00998592376709,6.65711164474487,11.9316854476929,22.8966999053955,NA,NA
"2007-01-09",30.8226127624512,90.3791046142578,55.0725975036621,54.0347747802734,74.4701385498047,60.6635475158691,9.45567226409912,17.959888458252,58.2483749389648,1.22535312175751,32.1957511901855,56.5458755493164,27.3179950714111,19.2209434509277,33.9972724914551,10.134617805481,59.4248390197754,-14.3388185501099,33.4183158874512,30.2983951568604,4.43036603927612,25.1768283843994,19.9088249206543,25.3299598693848,12.7178783416748,40.3824043273926,13.6208181381226,25.8254013061523,NA,22.468433380127,20.2125988006592,31.7319869995117,32.4304466247559,3.63376069068909,8.00998592376709,6.83844423294067,11.985936164856,22.9831066131592,NA,NA
"2007-01-10",30.8226127624512,90.043098449707,55.6035003662109,53.9987983703613,75.2018356323242,60.343433380127,9.45567226409912,17.9317455291748,57.3288307189941,1.22259414196014,32.027042388916,56.2774124145508,27.2004947662354,18.9985218048096,33.5110168457031,9.81790924072266,59.0124893188477,-14.311863899231,33.6373710632324,30.0410079956055,4.41374111175537,25.8080902099609,19.5192184448242,25.1189861297607,12.466628074646,40.1450309753418,13.4470701217651,25.7306575775146,NA,22.3257751464844,19.9563846588135,32.2881011962891,33.3003158569336,3.59434914588928,8.07614040374756,6.72165441513062,11.6706056594849,22.7887058258057,NA,NA
"2007-01-11",31.3253326416016,89.3263549804688,56.3467788696289,54.7183036804199,75.4863815307617,61.5705718994141,9.48298263549805,18.370885848999,58.470329284668,1.24703013896942,32.4488182067871,56.646556854248,27.476619720459,19.3321475982666,34.4430046081543,10.134617805481,60.2495460510254,-14.734127998352,34.2945442199707,30.4454765319824,4.40542936325073,26.395299911499,19.6828536987305,25.3035831451416,12.843508720398,41.0351676940918,13.701491355896,26.3938884735107,NA,22.3257751464844,20.2329368591309,32.9621696472168,33.7983131408691,3.69594359397888,8.13678550720215,6.78926992416382,12.0435781478882,23.155912399292,NA,NA
"2007-01-12",31.2039852142334,90.8494873046875,55.780460357666,54.5024642944336,75.6896438598633,61.5705718994141,9.42836475372314,18.162576675415,58.3752098083496,1.25412487983704,32.7018775939941,57.9889144897461,25.9667816162109,19.3506908416748,34.524055480957,10.4513235092163,60.4786262512207,-14.7925243377686,34.2945442199707,30.2983951568604,4.32230854034424,26.5861473083496,19.5348033905029,25.5145530700684,12.8361177444458,41.213191986084,13.8318033218384,26.637523651123,NA,22.2544441223145,20.5379543304443,33.2317962646484,33.7319183349609,3.60923838615417,8.04858112335205,6.81078338623047,12.1656436920166,23.1991119384766,NA,NA
"2007-01-15",31.3253326416016,NA,55.8866424560547,54.9341621398926,76.3806915283203,61.3571395874023,9.4966344833374,18.4102916717529,58.9776611328125,1.25885474681854,32.7018775939941,58.4587020874023,25.8610343933105,19.4248332977295,34.6456146240234,10.4513235092163,60.8451614379883,-14.8464269638062,34.5135955810547,30.3719348907471,4.34724569320679,26.395299911499,20.0646667480469,25.5541152954102,12.7104921340942,41.4208984375,13.7263116836548,27.0029716491699,NA,22.8963966369629,20.4769496917725,32.7093925476074,33.7983131408691,3.60836219787598,8.07614040374756,6.85074043273926,11.9689817428589,23.2423133850098,NA,NA
